S200418,더리터 리유저블컵
S200027,블루베리 크림치즈 찰떡
S200414,[할인] 레몬에이드 ML
S200028,베이크치즈 크림치즈 찰떡
S200415,[할인] 자몽에이드 ML
S200029,스트로베리 크림치즈 찰떡
S200416,[할인] 청포도에이드 ML
S200399,[할인] 흑당버블티
S200529,[할인] 소다프라페
S200586,블루베리 소프트크림
S200482,오트변경
S200390,[할인] 아메리카노
S200023,더리터 콜드브루 RTD
S200585,청포도요거스
S200322,더리터 드립백(6개입)
S200323,더리터 차량용 컵홀더
S200533,크로와상 세트
S200401,[행사] 아메리카노 L
S200007,달고나 추가
S200534,버터소금빵 SET
S200535,로인햄치즈 소금빵 샌드위치 SET
S200536,에그마요 크로와상 샌드위치 SET
S200161,[APP 쿠폰전용]아메리카노 L
S200523,마르게리타 치아바타 세트
S200521,베이글&라떼 세트
S200008,아이스크림 추가
S200520,베이글&아메리카노 세트
S200336,딸기바나나프라페
S200437,디카페인 변경
S200487,든든한 아침세트
S200439,디카페인 2샷 추가
S200335,기라델리 스윗 바닐라
S200333,기라델리 솔티드 카라멜 프라페(SL)
S200334,기라델리 시나몬 진저 프라페(SL)
S200342,기라델리 리얼 초코 프라페(SL)
S200496,겨울 간식 꾸러미
S200516,마르게리타 치아바타
S200514,에그마요 크로와상 샌드위치
S200513,로인햄치즈 소금빵 샌드위치
S200505,베이글
S200309,떠먹는 마스카포네 티라미수
S200389,베이컨 할라피뇨 크림치즈 콜라치
S200388,필리치즈 불고기 콜라치
S200310,떠먹는 스트로베리 초코크런치
S200301,솔티드카라멜 마카롱
S200302,오렌지얼그레이 마카롱
S200305,크림브륄레 마카롱
S200303,치즈케이크 마카롱
S200020,핫치킨 브리또
S200022,콤비네이션 피자 브리또
S200021,고구마 치즈 브리또
S200377,크룽칩(플레인)
S200378,크룽칩(갈릭버터)
S000109,단짠갈릭베이글칩
S000110,달콤허니베이글칩
S200016,ICED(ML)
S200013,ICED(L)
S200300,선택안함
S200396,얼음컵
S200017,HOT(ML)
S200053,ICED(ML)
S200054,ICED(L)
S200050,HOT(SL)
S200049,ICED(SL)
S200433,우유 추가
S200002,설탕시럽 추가
S200455,따뜻하게 데우기
S200456,데우지 않음
S200012,ICED(L)
S200011,ICED(L)
S200010,ICED(L)
S200014,ICED(L)
S200015,ICED(L)
S200001,헤이즐넛시럽 추가(ML)
S200111,헤이즐넛시럽 추가(L)
S200000,바닐라시럽 추가(ML)
S200115,바닐라시럽 추가(L)
S200313,2샷 추가
S2000222,시나몬 빼기
S200326,휘핑 O
S200018,휘핑 X
S200045,ICED
S200484,3개
S200485,5개
S200486,5개
S200497,허니 카스테라 변경
S200510,어니언크림치즈
S200116,박스 포장
S200042,선택안함
800029,빵봉투 추가
S200044,비닐봉투
S200306,매장컵
S200307,일회용컵 (컵 보증금)
S200308,개인 텀블러 사용
S200314,연하게
S200321,덜달게
S200315,물/우유 조금
S200316,얼음 많이
S200317,얼음 조금
800030,꿀 추가
800026,소프트크림 추가
800028,말차 소프트크림 추가
S200530,오트 우유 추가
S200531,매장이용
S200532,포장
TEST0000,테스트상품
TEST0001,테스트 옵션 상품
GD0002,마이그레이션 테스트 상품2
GD0001,마이그레이션-수정
S299001,[리터데이] 복숭아숭숭 ML
S200567,[리터데이]납작복숭아에이드ML
S200560,[리터데이]레몬에이드ML
S200483,[APP 고객만 주문가능] 카페모카
S200615,[리터데이] 복숭아숭숭 ML
S200565,[리터데이]애플망고에이드ML
200740,[50%] 닭가슴살 샐러드
500032,마들렌
S200324,블랙
S200441,마카다미아 넛 딜라이트 쿠키
S200538,아메리카노(HOT)
EV0008,(행사)딸기라떼
200686,[리터데이] 자몽 허니 블랙티
P00001,아메리카노
P00009,카라멜 마끼아토
000368,콘치즈붕어(2개)
P00002,킹스 아메리카노
P00032,유자차
P00033,제주 말차 라떼
P00036,얼 그레이
P00038,바닐라 루이보스
000007,소금커피(ICE)
000008,소금커피(HOT)
000003,율무커피(ICE)
000006,모리비엔나라떼(HOT)
000014,카페라떼(ICE)
000017,바닐라라떼(HOT)
000018,헤즐넛라떼(ICE)
000019,헤즐넛라떼(HOT)
000020,돌체라떼(ICE)
000021,돌체라떼(HOT)
000022,카페모카(ICE)
000023,카페모카(HOT)
000011,냉율무
000012,아메리카노(ICE)
000029,딸기라떼
000030,핫율무(HOT)
000031,초코라떼(ICE)
000032,초코라떼(HOT)
000033,녹차라떼(ICE)
000027,믹스커피(HOT)
000034,녹차라떼(HOT)
000035,밀크티라떼(ICE)
000045,쿠앤크 프라페
000046,자바칩 프라페
000026,믹스커피(ICE)
000051,수제청레몬에이드
000049,청포도에이드
000052,석류에이드
000054,석류 아이스티
000055,오렌지자몽주스
000056,아보카도바나나주스
000057,토마토주스
000058,딸기바나나주스
000059,키위주스
000048,초코 프라페
000050,수제청자몽에이드
P00051,초콜릿 프라페
000064,밀크티버블티
000065,흑당버블티
000083,모리슈크림빵
000084,플레인크로플
000085,누텔라크로플
000094,모닝샌드위치
000095,햄치즈샌드위치
000096,팥앙금오븐찰떡
000097,단호박오븐찰떡
000098,백앙금오븐찰떡
